id,country,state,city,station,pollutant_id,last_update,pollutant_min,pollutant_max,pollutant_avg
6,India,Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",CO,21-10-2021 01:00,15,45,32
13,India,Andhra_Pradesh,Rajamahendravaram,"Anand Kala Kshetram, Rajamahendravaram - APPCB",CO,21-10-2021 01:00,2,52,20
20,India,Andhra_Pradesh,Tirupati,"Tirumala, Tirupati - APPCB",CO,21-10-2021 01:00,39,68,51
27,India,Andhra_Pradesh,Visakhapatnam,"GVM Corporation, Visakhapatnam - APPCB",CO,21-10-2021 01:00,25,154,46
33,India,Assam,Guwahati,"Pan Bazaar, Guwahati - APCB",CO,21-10-2021 01:00,1,28,7
40,India,Assam,Guwahati,"Railway Colony, Guwahati - APCB",CO,21-10-2021 01:00,10,19,11
45,India,Bihar,Gaya,"Collectorate, Gaya - BSPCB",CO,21-10-2021 01:00,55,67,59
52,India,Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",CO,21-10-2021 01:00,38,54,42
59,India,Bihar,Hajipur,"Industrial Area, Hajipur - BSPCB",CO,21-10-2021 01:00,36,80,72
66,India,Bihar,Muzaffarpur,"Buddha Colony, Muzaffarpur - BSPCB",CO,21-10-2021 01:00,13,58,46
71,India,Bihar,Muzaffarpur,"Muzaffarpur Collectorate, Muzaffarpur - BSPCB",CO,21-10-2021 01:00,32,72,52
78,India,Bihar,Patna,"DRM Office Danapur, Patna - BSPCB",CO,21-10-2021 01:00,25,100,45
85,India,Bihar,Patna,"Govt. High School Shikarpur, Patna - BSPCB",CO,21-10-2021 01:00,16,56,40
92,India,Bihar,Patna,"Muradpur, Patna - BSPCB",CO,21-10-2021 01:00,57,112,98
99,India,Bihar,Patna,"Rajbansi Nagar, Patna - BSPCB",CO,21-10-2021 01:00,22,81,44
106,India,Bihar,Patna,"Samanpura, Patna - BSPCB",CO,21-10-2021 01:00,19,36,28
113,India,Chandigarh,Chandigarh,"Sector 22, Chandigarh - CPCC",CO,21-10-2021 01:00,34,104,40
120,India,Chandigarh,Chandigarh,"Sector-25, Chandigarh - CPCC",CO,21-10-2021 01:00,36,86,41
126,India,Chhattisgarh,Bilaspur,"Mangala, Bilaspur - NTPC",CO,21-10-2021 01:00,7,75,55
132,India,Delhi,Delhi,"Alipur, Delhi - DPCC",CO,21-10-2021 01:00,30,83,38
139,India,Delhi,Delhi,"Anand Vihar, Delhi - DPCC",CO,21-10-2021 01:00,NA,NA,NA
146,India,Delhi,Delhi,"Ashok Vihar, Delhi - DPCC",CO,21-10-2021 01:00,10,130,27
151,India,Delhi,Delhi,"Aya Nagar, Delhi - IMD",CO,21-10-2021 01:00,2,122,7
158,India,Delhi,Delhi,"Bawana, Delhi - DPCC",CO,21-10-2021 01:00,18,95,31
163,India,Delhi,Delhi,"CRRI Mathura Road, Delhi - IMD",CO,21-10-2021 01:00,102,161,105
170,India,Delhi,Delhi,"Chandni Chowk, Delhi - IITM",CO,21-10-2021 01:00,75,123,87
177,India,Delhi,Delhi,"DTU, Delhi - CPCB",CO,21-10-2021 01:00,29,122,49
184,India,Delhi,Delhi,"Dr. Karni Singh Shooting Range, Delhi - DPCC",CO,21-10-2021 01:00,22,119,32
191,India,Delhi,Delhi,"Dwarka-Sector 8, Delhi - DPCC ",CO,21-10-2021 01:00,5,124,41
196,India,Delhi,Delhi,"IGI Airport (T3), Delhi - IMD",CO,21-10-2021 01:00,90,108,105
203,India,Delhi,Delhi,"IHBAS, Dilshad Garden, Delhi - CPCB",CO,21-10-2021 01:00,22,110,84
209,India,Delhi,Delhi,"ITO, Delhi - CPCB",CO,21-10-2021 01:00,34,178,43
214,India,Delhi,Delhi,"Jahangirpuri, Delhi - DPCC",CO,21-10-2021 01:00,22,60,41
221,India,Delhi,Delhi,"Jawaharlal Nehru Stadium, Delhi - DPCC",CO,21-10-2021 01:00,5,122,13
228,India,Delhi,Delhi,"Lodhi Road, Delhi - IITM",CO,21-10-2021 01:00,58,70,65
233,India,Delhi,Delhi,"Lodhi Road, Delhi - IMD",CO,21-10-2021 01:00,18,75,22
240,India,Delhi,Delhi,"Major Dhyan Chand National Stadium, Delhi - DPCC",CO,21-10-2021 01:00,20,125,31
247,India,Delhi,Delhi,"Mandir Marg, Delhi - DPCC",CO,21-10-2021 01:00,38,105,43
254,India,Delhi,Delhi,"Mundka, Delhi - DPCC",CO,21-10-2021 01:00,23,103,35
261,India,Delhi,Delhi,"NSIT Dwarka, Delhi - CPCB",CO,21-10-2021 01:00,18,123,77
268,India,Delhi,Delhi,"Najafgarh, Delhi - DPCC",CO,21-10-2021 01:00,10,48,21
275,India,Delhi,Delhi,"Narela, Delhi - DPCC",CO,21-10-2021 01:00,55,70,58
282,India,Delhi,Delhi,"Nehru Nagar, Delhi - DPCC",CO,21-10-2021 01:00,38,148,53
287,India,Delhi,Delhi,"North Campus, DU, Delhi - IMD",CO,21-10-2021 01:00,24,118,35
294,India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC",CO,21-10-2021 01:00,5,128,28
301,India,Delhi,Delhi,"Patparganj, Delhi - DPCC",CO,21-10-2021 01:00,5,143,21
308,India,Delhi,Delhi,"Punjabi Bagh, Delhi - DPCC",CO,21-10-2021 01:00,13,104,17
315,India,Delhi,Delhi,"Pusa, Delhi - DPCC",CO,21-10-2021 01:00,8,126,36
320,India,Delhi,Delhi,"Pusa, Delhi - IMD",CO,21-10-2021 01:00,51,104,72
327,India,Delhi,Delhi,"R K Puram, Delhi - DPCC",CO,21-10-2021 01:00,5,105,12
334,India,Delhi,Delhi,"Rohini, Delhi - DPCC",CO,21-10-2021 01:00,42,113,64
341,India,Delhi,Delhi,"Shadipur, Delhi - CPCB",CO,21-10-2021 01:00,23,141,49
348,India,Delhi,Delhi,"Sirifort, Delhi - CPCB",CO,21-10-2021 01:00,36,134,56
355,India,Delhi,Delhi,"Sonia Vihar, Delhi - DPCC",CO,21-10-2021 01:00,20,103,42
362,India,Delhi,Delhi,"Sri Aurobindo Marg, Delhi - DPCC",CO,21-10-2021 01:00,17,63,22
369,India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC",CO,21-10-2021 01:00,52,125,73
376,India,Delhi,Delhi,"Wazirpur, Delhi - DPCC",CO,21-10-2021 01:00,5,112,11
382,India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM",CO,21-10-2021 01:00,1,55,3
388,India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB",CO,21-10-2021 01:00,3,133,29
393,India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM",CO,21-10-2021 01:00,32,72,37
399,India,Gujarat,Ahmedabad,"SAC ISRO Bopal, Ahmedabad - IITM",CO,21-10-2021 01:00,NA,NA,NA
406,India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",CO,21-10-2021 01:00,10,105,22
413,India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",CO,21-10-2021 01:00,13,92,23
420,India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",CO,21-10-2021 01:00,54,118,73
427,India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",CO,21-10-2021 01:00,58,100,62
434,India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",CO,21-10-2021 01:00,2,36,23
441,India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",CO,21-10-2021 01:00,8,69,13
447,India,Gujarat,Nandesari,"GIDC, Nandesari - Nandesari Ind. Association",CO,21-10-2021 01:00,50,100,65
452,India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",CO,21-10-2021 01:00,57,71,62
458,India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",CO,21-10-2021 01:00,22,78,34
465,India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",CO,21-10-2021 01:00,39,84,47
472,India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",CO,21-10-2021 01:00,14,68,27
479,India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",CO,21-10-2021 01:00,33,148,51
486,India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",CO,21-10-2021 01:00,14,102,22
493,India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",CO,21-10-2021 01:00,23,68,35
500,India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",CO,21-10-2021 01:00,2,73,18
507,India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",CO,21-10-2021 01:00,20,104,31
514,India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB",CO,21-10-2021 01:00,16,98,45
521,India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",CO,21-10-2021 01:00,51,120,55
526,India,Haryana,Faridabad,"Sector- 16A, Faridabad - HSPCB",CO,21-10-2021 01:00,22,117,48
533,India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB",CO,21-10-2021 01:00,16,68,31
538,India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD",CO,21-10-2021 01:00,35,74,42
545,India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB",CO,21-10-2021 01:00,2,129,47
552,India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB",CO,21-10-2021 01:00,29,55,46
557,India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB",CO,21-10-2021 01:00,30,108,74
564,India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",CO,21-10-2021 01:00,14,104,17
571,India,Haryana,Jind,"Police Lines, Jind - HSPCB",CO,21-10-2021 01:00,36,60,46
578,India,Haryana,Kaithal,"Rishi Nagar, Kaithal - HSPCB",CO,21-10-2021 01:00,4,86,14
585,India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",CO,21-10-2021 01:00,34,117,48
592,India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",CO,21-10-2021 01:00,24,93,41
599,India,Haryana,Mandikhera,"General Hospital, Mandikhera - HSPCB",CO,21-10-2021 01:00,21,84,25
606,India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",CO,21-10-2021 01:00,11,101,13
613,India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",CO,21-10-2021 01:00,6,22,11
620,India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",CO,21-10-2021 01:00,5,46,32
625,India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",CO,21-10-2021 01:00,1,6,3
632,India,Haryana,Panipat,"Sector-18, Panipat - HSPCB",CO,21-10-2021 01:00,NA,NA,NA
637,India,Haryana,Rohtak,"MD University, Rohtak - HSPCB",CO,21-10-2021 01:00,44,106,66
644,India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB",CO,21-10-2021 01:00,15,73,39
651,India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB",CO,21-10-2021 01:00,14,33,27
